Date,Symbol,Target Weight
6/24/24,$:CASH,0.01
6/24/24,AGG,0.11
6/24/24,BIV,0.03
6/24/24,BYLD,0.12
6/24/24,DGRW,0.11
6/24/24,FALN,0.06
6/24/24,GTO,0.14
6/24/24,IAGG,0.03
6/24/24,JIRE,0.05
6/24/24,JMOM,0.02
6/24/24,JQUA,0.11
6/24/24,SCHG,0.06
6/24/24,SMLF,0.02
6/24/24,SYLD,0.03
6/24/24,VEA,0.05
6/24/24,VLU,0.05
1/2/25,$:CASH,0.02
1/2/25,BIL,0.06
1/2/25,DFIV,0.025
1/2/25,DGRW,0.12
1/2/25,HYDB,0.06
1/2/25,IAGG,0.03
1/2/25,IDMO,0.025
1/2/25,IUS,0.03
1/2/25,JCPB,0.15
1/2/25,QMOM,0.035
1/2/25,SCHG,0.03
1/2/25,SMLF,0.015
1/2/25,UITB,0.2
1/2/25,VOO,0.1
1/2/25,VXUS,0.05
1/2/25,WTV,0.035
1/2/25,XSMO,0.015
6/30/25,$:CASH,0.01
6/30/25,AVDE,0.075
6/30/25,CPLB,0.14
6/30/25,DLN,0.03
6/30/25,FMDE,0.03
6/30/25,FSMD,0.02
6/30/25,HYDB,0.06
6/30/25,IAGG,0.03
6/30/25,IDMO,0.025
6/30/25,QMOM,0.02
6/30/25,SCHG,0.03
6/30/25,SPMO,0.07
6/30/25,UITB,0.26
6/30/25,VOO,0.17
6/30/25,WTV,0.02
6/30/25,XSMO,0.01
8/25/25,$:CASH,0.01
8/25/25,AVDE,0.075
8/25/25,CPLB,0.14
8/25/25,DLN,0.03
8/25/25,FMDE,0.03
8/25/25,FPX,0.02
8/25/25,FSMD,0.02
8/25/25,HYDB,0.06
8/25/25,IAGG,0.03
8/25/25,IDMO,0.025
8/25/25,SCHG,0.03
8/25/25,SPMO,0.07
8/25/25,UITB,0.26
8/25/25,VOO,0.17
8/25/25,WTV,0.02
8/25/25,XSMO,0.01
3/10/26,$:CASH,0.01
3/10/26,AVDE,0.055
3/10/26,AVIG,0.1025
3/10/26,BIV,0.1025
3/10/26,DFCF,0.0625
3/10/26,FPX,0.03
3/10/26,HYDB,0.06
3/10/26,IAGG,0.03
3/10/26,IDEQ,0.055
3/10/26,PWB,0.05
3/10/26,QLC,0.1
3/10/26,UITB,0.1425
3/10/26,ULVM,0.05
3/10/26,VB,0.01
3/10/26,VFMO,0.03
3/10/26,VOO,0.1
3/10/26,XSMO,0.01